method,no_philosophers,time
Asym,5,2
Asym,5,2
Asym,5,2
Asym,5,2
Asym,5,2
Asym,5,2
Asym,5,9
Asym,5,2
Asym,5,9
Asym,5,2
Asym,5,65
Asym,5,65
Asym,5,17
Asym,5,9
Asym,5,17
Asym,5,9
Asym,5,2
Asym,5,5
Asym,5,2
Asym,5,2
Asym,5,3
Asym,5,2
Asym,5,17
Asym,5,2
Asym,5,3
Asym,5,5
Asym,5,3
Asym,5,48
Asym,5,5
Asym,5,40
Asym,5,2
Asym,5,2
Asym,5,2
Asym,5,2
Asym,5,2
Asym,5,2
Asym,5,513
Asym,5,2
Asym,5,34
Asym,5,5
Asym,5,2
Asym,5,2
Asym,5,2
Asym,5,2
Asym,5,2
Asym,5,2
Asym,5,2
Asym,5,2
Asym,5,1025
Asym,5,2
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,6
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,514
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,1026
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,2057
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,3
Conductor,5,2561
Conductor,5,3
Conductor,5,3
Conductor,5,3
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,513
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,2
Asym,6,576
Asym,6,2
Asym,6,2
